Navn	dato
Abraham	20. desember
Ada	4. mars
Adam	24. desember
Adrian	4. mars
Agate	5. februar
Agnar	21. juni
Agnes	21. januar
Agnete	21. januar
Ahmed	21. juni
Aina	27. juni
Aisha	6. januar
Aksel	30. oktober
Albert	24. april
Aleksander	18. mars
Aleksandra	17. februar
Alf	3. januar
Alfred	3. januar
Ali	7. mars
Alise	3. september
Allan	8. september
Alma	8. september
Alva	3. januar
Alvhild	3. september
Amalie	8. september
Amanda	26. oktober
Amandus	26. oktober
Amina	10. juli
Amund	20. desember
Anders	30. november
Andor	6. mars
Andrea	3. juli
Andreas	30. november
Andrine	3. juli
André	3. juli
Ane	26. juli
Anette	9. desember
Anine	13. august
Anita	10. juli
Anja	10. juli
Ann	13. august
Anna	26. juli
Annar	21. juni
Annbjørg	26. mai
Anne	26. juli
Annette	9. desember
Annfrid	6. mars
Annika	9. desember
Anniken	9. desember
Annlaug	26. mai
Anny	13. august
Ansgar	3. februar
Anton	17. januar
Are	7. mars
Arild	7. mars
Arna	4. august
Arne	4. august
Arnfinn	19. april
Arnhild	4. august
Arnljot	1. desember
Arnold	1. desember
Arnstein	19. april
Arnt	1. desember
Arnulf	18. juli
Aron	1. april
Artur	28. august
Arve	1. april
Arvid	1. april
Asbjørg	10. mai
Asbjørn	10. mai
Asgeir	3. februar
Ask	1. juli
Aslak	15. september
Aslaug	6. januar
Asle	8. april
Asmund	6. april
Asta	13. april
Astrid	13. april
Atle	8. april
Aud	30. juli
Audhild	30. juli
Audny	1. mars
Audun	1. mars
August	28. august
Aurora	30. juli
Barbara	4. desember
Barbro	4. desember
Bastian	20. januar
Beate	8. mars
Belinda	24. august
Ben	30. august
Bendik	21. mars
Benedikte	8. oktober
Bengt	21. mars
Benjamin	30. august
Bent	21. mars
Bente	8. oktober
Bergljot	21. oktober
Berit	7. oktober
Bernhard	20. august
Bernt	20. august
Berta	31. august
Berte	31. august
Bertil	24. august
Bettina	8. mars
Betty	8. mars
Birger	21. oktober
Birgit	7. oktober
Birgitte	7. oktober
Birte	1. februar
Bjarne	18. juni
Bjarte	1. februar
Bjørg	11. juni
Bjørge	11. juni
Bjørn	18. juni
Bjørnar	20. mai
Bjørnhild	20. mai
Bo	5. oktober
Bodil	17. juni
Borgar	11. juni
Borghild	2. desember
Borgny	2. desember
Botolv	17. juni
Boye	5. oktober
Brede	5. september
Brian	5. september
Brit	23. juli
Brita	23. juli
Britt	23. juli
Bror	20. mai
Brynhild	16. august
Brynjar	5. oktober
Brynjulf	16. august
Bård	2. desember
Børge	11. januar
Børre	11. januar
Camilla	12. august
Carmen	27. mai
Cato	27. mai
Cecilie	22. november
Celine	21. februar
Charles	27. april
Charlotte	27. april
Chris	15. mars
Christel	15. mars
Christer	15. mars
Connie	19. september
Dag	11. september
Dagfinn	2. januar
Dagfrid	2. januar
Dagmar	27. september
Dagny	11. september
Dagrun	27. september
Dan	11. desember
Daniel	11. desember
David	30. desember
Diana	30. desember
Didrik	7. august
Dina	30. desember
Doris	7. august
Dorte	6. februar
Dortea	6. februar
Edel	10. mars
Edgar	16. november
Edit	31. oktober
Edle	10. mars
Edmund	16. november
Edna	31. oktober
Edvard	18. mars
Edvin	11. mars
Egil	5. november
Egon	5. november
Eilen	18. april
Eilert	18. april
Eilif	24. oktober
Einar	26. september
Eira	15. november
Eirik	18. mai
Eiril	5. april
Eirin	5. april
Eivind	26. august
Eivor	24. oktober
Eldar	12. juli
Eldbjørg	7. januar
Eldrid	23. juni
Elfrid	23. juni
Eli	21. mai
Elias	12. juli
Elin	31. juli
Eline	31. juli
Elisabeth	19. november
Elise	17. april
Ella	19. februar
Ellen	21. mai
Elling	19. juni
Ellinor	14. april
Elna	19. februar
Elsa	17. april
Else	17. april
Embla	1. juli
Emil	23. januar
Emilie	23. januar
Emma	23. januar
Endre	26. september
Erik	18. mai
Erika	18. mai
Erland	14. juni
Erlend	14. juni
Erling	19. juni
Erna	2. mars
Ernst	2. mars
Eskil	15. september
Espen	10. mai
Esten	26. januar
Ester	24. mai
Eva	24. desember
Evald	3. oktober
Evelyn	3. oktober
Even	26. august
Evy	8. august
Eystein	26. januar
Fabian	20. januar
Fatima	18. februar
Filip	1. mai
Finn	16. oktober
Flemming	16. oktober
Frank	4. oktober
Frans	4. oktober
Fred	14. november
Freddy	14. november
Fredrik	14. november
Frida	10. oktober
Fridtjof	10. oktober
Frits	10. oktober
Frode	18. februar
Frøydis	18. februar
Gabriel	26. mars
Gard	30. mai
Gaute	27. januar
Geir	30. mai
Georg	23. april
Gerd	23. mars
Gerda	23. mars
Gerhard	19. juli
Gina	30. april
Gislaug	13. januar
Gisle	13. januar
Gitte	30. april
Gjermund	3. mai
Gjert	19. juli
Gjertrud	17. mars
Glenn	26. mars
Gorm	17. juli
Gregor	12. mars
Greta	13. mars
Grete	13. mars
Gro	12. mars
Gry	27. januar
Gudbjørg	10. november
Gudbrand	5. mai
Gudmund	16. mars
Gudny	16. mars
Gudrun	24. november
Gudveig	10. november
Gullborg	5. mai
Gunda	30. januar
Gunn	9. januar
Gunnar	9. januar
Gunnbjørg	3. mars
Gunnhild	30. januar
Gunnlaug	6. august
Gunnleiv	6. august
Gunnvald	3. april
Gunnveig	3. mars
Gunvor	3. april
Guri	6. mai
Gurli	27. januar
Guro	24. november
Gustav	6. juni
Guttorm	17. juli
Gyda	6. juni
Gyri	6. mai
Gøran	9. juli
Gøril	3. mai
Halldis	20. februar
Halldor	20. februar
Hallfrid	7. desember
Hallgeir	7. desember
Hallgjerd	14. august
Hallstein	7. desember
Hallvard	15. mai
Halvdan	20. november
Halvor	15. mai
Hanna	5. januar
Hanne	5. januar
Hans	24. juni
Harald	17. mai
Harriet	22. august
Harry	22. august
Hassan	16. januar
Hauk	17. november
Hedda	15. oktober
Hedvig	15. oktober
Hege	30. september
Heid	4. juni
Heidi	4. juni
Heine	20. oktober
Helene	21. mai
Helga	30. september
Helge	30. september
Helle	20. november
Henning	22. mai
Henny	22. mai
Henriette	18. september
Henrik	20. oktober
Henrikke	20. oktober
Henry	18. september
Herbjørg	14. januar
Herbjørn	14. januar
Herborg	14. januar
Herdis	29. januar
Herman	20. oktober
Hermann	29. januar
Hermod	29. januar
Hild	18. januar
Hilda	15. desember
Hilde	15. desember
Hildebjørg	17. september
Hildegunn	17. september
Hildur	18. januar
Hilmar	16. januar
Hjalmar	16. januar
Hjørdis	14. februar
Hogne	17. november
Holger	30. mars
Hugo	17. november
Hulda	7. juli
Håkon	22. juni
Håvard	7. juli
Ida	4. september
Idar	4. september
Idun	31. januar
Ina	27. juni
Ine	27. juni
Inga	17. desember
Ingar	22. desember
Inge	17. desember
Ingebjørg	14. september
Ingeborg	14. september
Ingebrigt	7. november
Ingelin	7. november
Ingemar	22. desember
Inger	26. februar
Ingfrid	10. februar
Ingjerd	26. februar
Ingolf	10. juni
Ingrid	10. februar
Ingunn	10. juni
Ingvald	10. april
Ingvar	25. september
Ingve	11. februar
Ingveig	10. april
Ingvild	8. november
Irene	5. april
Iris	24. mai
Isak	19. desember
Iselin	19. desember
Ivan	22. januar
Ivar	31. januar
Jack	25. juli
Jakob	25. juli
Jan	24. september
Jane	21. juli
Janne	21. juli
Jannike	21. april
Jardar	14. februar
Jarl	24. januar
Jarle	24. januar
Jeanette	21. april
Jennifer	26. juni
Jenny	26. juni
Jens	24. september
Jesper	9. mai
Jesus	1. januar
Jill	16. februar
Jim	25. juli
Jo	29. august
Joakim	20. mars
Joar	24. januar
Jofrid	12. september
Johan	29. august
Johanne	21. juli
Johannes	24. juni
Jomar	2. februar
Jon	24. juni
Jonas	29. mars
Jonatan	29. mars
Jone	29. august
Jonny	26. juni
Jorid	12. september
Jorunn	25. juni
Josef	19. mars
Josefine	19. mars
Jostein	2. februar
Judit	10. desember
Julian	16. februar
Juliane	16. februar
Julie	12. april
Julius	12. april
June	1. juni
Juni	1. juni
Jytte	10. desember
Jøran	9. juli
Jørgen	23. april
Jørn	23. april
Jørund	25. juni
Kai	14. oktober
Kaia	14. oktober
Karen	2. august
Kari	25. november
Karianne	22. oktober
Karin	2. august
Karine	22. oktober
Karl	28. januar
Karoline	28. januar
Karsten	14. mai
Kasper	9. mai
Katarina	25. november
Kate	18. desember
Katinka	27. mai
Katrine	25. november
Kennet	11. oktober
Kent	11. oktober
Kevin	11. oktober
Kim	20. mars
Kine	22. oktober
Kirsten	13. november
Kirsti	13. november
Kjartan	2. juli
Kjell	11. juli
Kjellaug	20. april
Kjellfrid	2. juli
Kjellrun	20. april
Kjersti	18. oktober
Kjerstin	18. oktober
Kjetil	11. juli
Klara	12. august
Klaus	23. november
Klement	23. november
Knut	7. januar
Kolbein	9. juni
Kolbjørn	9. juni
Konrad	26. november
Konstanse	19. september
Kristen	14. mai
Kristi	24. juli
Kristian	14. mai
Kristin	24. juli
Kristine	24. juli
Kristoffer	18. desember
Kurt	26. november
Kyrre	22. september
Kåre	22. september
Laila	27. februar
Lars	10. august
Lasse	10. august
Laura	15. januar
Laurits	15. januar
Lea	28. juni
Leidulf	9. oktober
Leif	9. oktober
Leikny	9. februar
Lena	28. september
Lene	28. september
Lennart	6. november
Leo	28. juni
Leon	28. juni
Leonard	6. november
Levi	9. februar
Liam	9. oktober
Lill	27. februar
Lillian	16. september
Lilly	16. september
Linda	13. mai
Line	13. mai
Linn	13. mai
Lisa	2. september
Lisbet	19. november
Lise	2. september
Liss	2. september
Liv	2. oktober
Live	2. oktober
Lone	9. februar
Lorents	10. august
Lotte	27. april
Louise	25. august
Lovise	25. august
Lucia	13. desember
Ludvig	25. august
Lydia	13. desember
Magda	11. mai
Magnar	29. mai
Magne	18. november
Magnhild	29. mai
Magnus	16. april
Magny	18. november
Mai	7. mai
Maia	7. mai
Maiken	7. mai
Malene	22. juli
Mali	22. juli
Malin	22. juli
Malvin	11. mai
Marcus	25. april
Maren	28. februar
Margareta	20. juli
Margit	20. juli
Margot	15. august
Margrete	25. oktober
Margunn	19. januar
Mari	25. mars
Maria	25. mars
Mariann	21. november
Marianne	21. november
Marie	25. mars
Marielle	15. august
Marina	28. februar
Marion	8. desember
Marit	20. juli
Marita	27. juli
Marius	19. januar
Mark	25. april
Markus	25. april
Marlene	8. desember
Marta	17. oktober
Marte	17. oktober
Martin	11. november
Martine	11. november
Mary	15. august
Mathias	24. februar
Mathilde	14. mars
Mats	24. februar
Mattias	24. februar
Mattis	24. februar
Maud	22. juni
Melissa	13. juli
Merete	25. oktober
Mette	14. mars
Mia	13. juli
Mikael	29. september
Mikal	29. september
Mikkel	29. september
Mildrid	13. juli
Mina	5. juli
Mira	28. februar
Mirjam	5. juli
Mohammad	16. april
Mona	4. mai
Monika	4. mai
Mons	16. april
Morgan	8. desember
Morten	11. november
Märtha	25. oktober
Målfrid	6. oktober
Møyfrid	6. oktober
Nancy	4. april
Nanna	4. april
Narve	27. desember
Natalie	27. desember
Nataniel	12. januar
Nelly	12. januar
Nikolai	6. desember
Nils	6. desember
Nina	4. april
Njål	5. september
Nora	14. april
Noralf	29. oktober
Normann	12. mai
Norunn	29. oktober
Norvald	12. mai
Oda	15. april
Odd	15. april
Oddbjørg	16. desember
Oddbjørn	16. desember
Oddfrid	15. november
Oddgeir	22. april
Oddlaug	23. mai
Oddleif	23. mai
Oddmund	15. juli
Oddny	22. april
Oddrun	15. juli
Oddvar	15. november
Oddveig	7. april
Oddvin	7. april
Odin	15. april
Ola	29. juli
Olaug	24. april
Olav	29. juli
Ole	29. juli
Olga	30. mars
Oline	3. august
Oliver	3. august
Olve	3. august
Omar	2. februar
Oskar	5. august
Osvald	5. august
Ottar	4. november
Otto	4. november
Ove	30. oktober
Patricia	5. mars
Patrick	5. mars
Paul	25. januar
Paula	22. mars
Pauline	22. mars
Peder	1. august
Peggy	12. desember
Per	29. juni
Pernille	31. mai
Peter	29. juni
Petra	1. august
Petter	29. juni
Pia	12. desember
Preben	31. mai
Pål	25. januar
Ragna	25. mai
Ragnar	25. mai
Ragnhild	17. mai
Ragni	21. august
Ragnvald	21. august
Rakel	3. juni
Randi	12. februar
Randulf	12. februar
Rannveig	9. april
Rasmus	3. juni
Raymond	3. november
Rebekka	1. oktober
Regine	7. september
Reidar	28. juli
Reidun	28. juli
Reinert	12. januar
Reinhard	12. januar
Remi	1. oktober
Renate	8. juni
René	8. juni
Riborg	7. februar
Rigmor	7. februar
Rikard	7. februar
Rikke	24. mars
Rita	27. juli
Roald	27. august
Roar	4. januar
Robert	7. juni
Robin	7. juni
Roger	4. januar
Rolf	27. august
Ronald	9. august
Ronja	12. februar
Ronny	9. august
Rose	7. september
Roy	3. november
Ruben	28. november
Rudi	27. mars
Rudolf	27. mars
Runa	2. juni
Runar	2. juni
Rune	2. juni
Rut	28. november
Rønnaug	9. april
Salve	20. juni
Samira	16. mai
Samuel	21. februar
Sander	18. mars
Sandra	17. februar
Sanna	16. juli
Sara	16. mai
Scott	13. februar
Sebastian	20. januar
Selma	21. februar
Severin	23. oktober
Sigbjørn	15. februar
Sigfred	15. februar
Sigfrid	12. juni
Sigmund	10. januar
Signe	23. august
Signy	23. august
Sigrid	12. juni
Sigrun	10. januar
Sigurd	23. desember
Sigvald	19. august
Sigvard	2. april
Sigve	19. august
Silje	22. november
Simen	28. oktober
Simon	28. oktober
Sindre	9. mars
Siren	16. mai
Siri	12. juni
Siril	6. september
Sissel	22. november
Siv	6. september
Sivert	2. april
Sjur	23. desember
Snefrid	23. september
Snorre	23. september
Sofie	29. november
Solbjørg	30. juni
Solfrid	14. juli
Solgunn	30. juni
Sollaug	6. september
Solrun	14. juli
Solveig	1. september
Solvor	1. september
Sondre	17. februar
Sonja	29. november
Stefan	26. desember
Steffen	26. desember
Stein	14. desember
Steinar	14. desember
Stella	14. august
Stian	13. september
Stig	13. september
Stine	5. desember
Storm	14. august
Sture	27. oktober
Sturla	27. oktober
Ståle	5. desember
Sunniva	8. juli
Susanne	16. juli
Svanaug	13. februar
Svanhild	13. februar
Svein	3. desember
Sveinung	3. desember
Sverre	9. mars
Sylfest	31. desember
Sylvi	31. desember
Sylvia	31. desember
Synne	8. juli
Synnøve	8. juli
Sølve	20. juni
Sølvi	20. juni
Søren	23. oktober
Tage	20. september
Tale	11. mars
Tanja	13. juni
Tarald	11. august
Tarjei	13. oktober
Tea	26. april
Teodor	9. november
Terese	26. april
Terje	13. oktober
Thea	26. april
Thomas	21. desember
Tim	22. februar
Tina	22. februar
Tiril	16. juni
Tobias	20. september
Tom	21. desember
Tomas	21. desember
Tomine	12. november
Tommy	21. desember
Tone	13. juni
Tonje	13. juni
Tony	17. januar
Tor	10. september
Tora	19. oktober
Toralf	29. april
Torben	5. juni
Torbjørg	5. juni
Torbjørn	5. juni
Tord	10. september
Tordis	9. november
Tore	19. oktober
Torfinn	8. januar
Torgeir	13. oktober
Torgrim	6. juli
Torgunn	6. juli
Torhild	16. juni
Toril	16. juni
Torje	19. mai
Torjus	19. mai
Torkil	12. november
Torkjell	12. november
Torlaug	27. november
Torleif	27. november
Tormod	18. august
Torodd	18. august
Torolf	29. april
Torstein	23. februar
Torunn	23. februar
Torvald	11. august
Tove	2. november
Trine	21. september
Trond	21. september
Trude	17. mars
Truls	19. mai
Trygve	9. september
Trym	9. september
Turid	8. januar
Tuva	2. november
Tyra	9. september
Tønnes	17. januar
Ulf	11. april
Ulla	4. juli
Ulrik	4. juli
Ulrikke	24. mars
Une	28. desember
Unn	28. desember
Unni	28. desember
Valborg	1. mai
Valter	12. oktober
Vanessa	22. januar
Vanja	22. januar
Vebjørn	31. mars
Vegard	31. mars
Vemund	29. desember
Vera	4. februar
Verner	17. august
Veronika	4. februar
Veslemøy	1. november
Vetle	1. november
Vibeke	12. oktober
Vidar	29. desember
Vigdis	15. juni
Viggo	15. juni
Viktor	25. februar
Viktoria	25. februar
Vilde	3. september
Vilhelm	28. mai
Viljar	28. april
Vivi	28. april
Vivian	28. april
Wenche	17. august
William	28. mai
Willy	28. mai
Yasmin	8. august
Ylva	11. april
Yngvar	25. september
Yngve	11. februar
Yngvild	8. november
Yvonne	8. august
Åge	8. mai
Ågot	5. februar
Åke	8. mai
Ånund	30. oktober
Åsa	2. mai
Åse	2. mai
Åshild	8. februar
Åslaug	6. januar
Åsmund	6. april
Åsne	8. februar
Åsta	28. mars
Åste	28. mars
Ørjan	9. juli
Ørnulf	18. juli
Øystein	26. januar
Øyvind	26. august
