Fornvan	Fullt navn	kjønn
Heidi	Heidi Grande Røys	kvinne
Hallgeir	Hallgeir H. Langeland	mann
Hans	Hans Kristian Hogsnes	mann
Heidi	Heidi Larssen	kvinne
Hill-Marta	Hill-Marta Solberg	kvinne
Henrik	Henrik Rød	mann
Harald	Harald T. Nesvik	mann
Inga	Inga Marte Thorkildsen	kvinne
Ingmar	Ingmar Ljones	mann
Inge	Inge Ryan	mann
Ingebrigt	Ingebrigt S. Sørfonn	mann
Inge	Inge Lønning	mann
Ingvild	Ingvild Vaggen Malvik	kvinne
Ingjerd	Ingjerd Schou	kvinne
Inger	Inger S. Enger	kvinne
Ivar	Ivar Kristiansen	mann
Ivar	Ivar Østberg	mann
Jan	Jan Arild Ellingsen	mann
Jan	Jan Olav Olsen	mann
Jens	Jens Stoltenberg	mann
John	John I. Alvheim	mann
Jørgen	Jørgen Kosmo	mann
Jon	Jon Lilletun	mann
Jan	Jan Petersen	mann
Jorunn	Jorunn Ringstad	kvinne
Jan	Jan Simonsen	mann
Jan	Jan Sahl	mann
Jan	Jan Tore Sanner	mann
Julie	Julie Christiansen	kvinne
Karita	Karita Bekkemellem	kvinne
Kjell	Kjell Engebretsen	mann
Kenneth	Kenneth Svendsen	mann
Kristin	Kristin Halvorsen	kvinne
Kjetil	Kjetil Bjørklund	mann
Kristin	Kristin Krohn Devold	kvinne
Kari	Kari Lise Holmberg	kvinne
Kjell	Kjell Magne Bondevik	mann
Knut	Knut Storberget	mann
Karl	Karl Eirik Schjøtt-Pedersen	mann
Karin	Karin S. Woldseth	kvinne
Karin	Karin Andersen	kvinne
Lena	Lena Jensen	kvinne
Leif	Leif Frode Onarheim	mann
Leif	Leif Lund	mann
Lodve	Lodve Solholm	mann
Lars	Lars Rise	mann
Lars	Lars Sponheim	mann
Magne	Magne Aarøen	mann
Martin	Martin Engeset	mann
May	May Hansen	kvinne
May-Helen	May-Helen Molvær Grimstad	kvinne
Michael	Michael Momyr	mann
Morten	Morten Lund	mann
Magnar	Magnar Lund Bergo	mann
Magnhild	Magnhild Meltveit Kleppa	kvinne
Marit	Marit Nybakk	kvinne
Morten	Morten Høglund	mann
Marit	Marit Arnstad	kvinne
Olav	Olav Akselsen	mann
Oddbjørg	Oddbjørg Ausdal Starrfelt	kvinne
Odd	Odd Einar Dørum	mann
Ola	Ola D. Gløtvold	mann
Odd	Odd Holten	mann
Øystein	Øystein Hedstrøm	mann
Øystein	Øystein Djupedal	mann
Olemic	Olemic Thommessen	mann
Olav	Olav Gunnar Ballo	mann
Oddvard	Oddvard Nilsen	mann
Odd	Odd Roger Enoksen	mann
Ola	Ola T. Lånke	mann
Øyvind	Øyvind Vaksdal	mann
Øyvind	Øyvind Korsberg	mann
Per	Per Roar Bredvold	mann
Per	Per Erik Monsen	mann
Per	Per Ove Width	mann
Per	Per Sandberg	mann
Petter	Petter Løvik	mann
Per-Kristian	Per-Kristian Foss	mann
Ranveig	Ranveig Frøiland	kvinne
Rolf	Rolf Reikvam	mann
Raymond	Raymond Robertsen	mann
Reidar	Reidar Sandal	mann
Rune	Rune J. Skjælaaen	mann
Rolf	Rolf Terje Klungland	mann
Anne	Anne Helen Rui	kvinne
Svein	Svein Flåtten	mann
Siri	Siri Hall Arnøy	kvinne
Steinar	Steinar Bastesen	mann
Sigrun	Sigrun Eng	kvinne
Søren	Søren Fredrik Voie	mann
Sigbjørn	Sigbjørn Molvik	mann
Signe	Signe Øye	kvinne
Siv	Siv Jensen	kvinne
Sylvia	Sylvia Brustad	kvinne
Synnøve	Synnøve Konglevoll	kvinne
Siri	Siri A. Meling	kvinne
Sigvald	Sigvald Oppebøen Hansen	mann
Sonja	Sonja Irene Sjøli	kvinne
Svein	Svein Roald Hansen	mann
Sverre	Sverre J. Hoddevik	mann
Thore	Thore A. Nistad	mann
Tor-Arne	Tor-Arne Strøm	mann
Trond	Trond Giske	mann
Torbjørn	Torbjørn Hansen	mann
Thorbjørn	Thorbjørn Jagland	mann
Torbjørn	Torbjørn Andersen	mann
Tore	Tore Nordtun	mann
Torny	Torny Pedersen	kvinne
Torstein	Torstein Rudihagen	mann
Trond	Trond Helleland	mann
Ursula	Ursula Evje	kvinne
Ulf	Ulf Erik Knudsen	mann
Vidar	Vidar Bjørnstad	mann
Valgerd	Valgerd Svarstad Haugland	kvinne
Øyvind	Øyvind Halleraker	mann
Åge	Åge Konradsen	mann
Åslaug	Åslaug Haga	kvinne
Anita	Anita Apelthun Sæle	kvinne
Anne	Anne Brit Stråtveit	kvinne
Anneliese	Anneliese Dørum	kvinne
Åse	Åse Gunhild Woie Duesund	kvinne
Anne	Anne Enger	kvinne
Ansgar	Ansgar Gabrielsen	mann
Ågot	Ågot Valle	kvinne
Arne	Arne Lyngstad	mann
Astrid	Astrid Marie Nistad	kvinne
Annelise	Annelise Høegh	kvinne
Are	Are Næss	mann
Asmund	Asmund Kristoffersen	mann
Ane	Ane Sofie Tømmerås	kvinne
Aud	Aud Blattmann	kvinne
Aud	Aud Gaundal	kvinne
Åse	Åse Wisløff Nilssen	kvinne
Berit	Berit Brørby	kvinne
Bent	Bent Hegna	mann
Bendiks	Bendiks H. Arnesen	mann
Bjarne	Bjarne Håkon Hanssen	mann
Britt	Britt Hildeng	kvinne
Bjørn	Bjørn Hernæs	mann
Børge	Børge Brende	mann
Bjørn	Bjørn Tore Godal	mann
Bror	Bror Yngve Rahm	mann
Carl	Carl I. Hagen	mann
Christopher	Christopher Stensaker	mann
Dag	Dag Danielsen	mann
Dag	Dag Terje Andersen	mann
Erik	Erik Dalheim	mann
Erik	Erik Solheim	mann
Einar	Einar Steensnæs	mann
Elsa	Elsa Skarbøvik	kvinne
Einar	Einar Olav Skogholt	mann
Erna	Erna Solberg	kvinne
Eirin	Eirin Faldet	kvinne
Fridtjof	Fridtjof Frank Gundersen	mann
Finn	Finn Kristian Marthinsen	mann
Gunnar	Gunnar Breimo	mann
Grethe	Grethe G. Fossum	kvinne
Gunnar	Gunnar Halvorsen	mann
Grete	Grete Knudsen	kvinne
Gunn	Gunn Karin Gjul	kvinne
Gunnar	Gunnar Kvassheim	mann
Gunhild	Gunhild Øyangen	kvinne
Gudmund	Gudmund Restad	mann
Grethe	Grethe Fossli	kvinne
Gunnar	Gunnar Skaug	mann
Gunn	Gunn Olsen	kvinne
Haakon	Haakon Blankenborg	mann
Hilde	Hilde Frafjord Johnson	kvinne
Hallgeir	Hallgeir H. Langeland	mann
Hans	Hans J. Røsjorde	mann
Hill-Marta	Hill-Marta Solberg	kvinne
Harald	Harald T. Nesvik	mann
Ingvald	Ingvald Godal	mann
Inger	Inger Lise Husøy	kvinne
Inge	Inge Myrvoll	mann
Ingebrigt	Ingebrigt S. Sørfonn	mann
Inge	Inge Lønning	mann
Inger	Inger Stolt-Nielsen	kvinne
Ivar	Ivar Kristiansen	mann
Ivar	Ivar Østberg	mann
Jan	Jan Johnsen	mann
John	John Dale	mann
Jens	Jens Stoltenberg	mann
John	John I. Alvheim	mann
Johan	Johan J. Jakobsen	mann
Jørgen	Jørgen Kosmo	mann
Jon	Jon Lilletun	mann
Jørn	Jørn L. Stang	mann
Jon	Jon Olav Alstad	mann
Jan	Jan Petersen	mann
Jan	Jan Petter Rasmussen	mann
Jorunn	Jorunn Ringstad	kvinne
Jan	Jan Simonsen	mann
Jan	Jan Sahl	mann
Jan	Jan Tore Sanner	mann
Kari	Kari Økland	kvinne
Karita	Karita Bekkemellem	kvinne
Kjell	Kjell Engebretsen	mann
Kenneth	Kenneth Svendsen	mann
Kristin	Kristin Halvorsen	kvinne
Kristin	Kristin Krohn Devold	kvinne
Kirsti	Kirsti Kolle Grøndahl	kvinne
Kjell	Kjell Magne Bondevik	mann
Kjellaug	Kjellaug Nakkim	kvinne
Kjell	Kjell Opseth	mann
Karl	Karl Eirik Schjøtt-Pedersen	mann
Karin	Karin Andersen	kvinne
Leif	Leif Helge Kongshaug	mann
Lars	Lars Gunnar Lie	mann
Laila	Laila Kaland	kvinne
Leif	Leif Lund	mann
Liv	Liv Marit Moland	kvinne
Lodve	Lodve Solholm	mann
Lars	Lars Rise	mann
Lars	Lars Sponheim	mann
May	May Britt Vihovde	kvinne
May-Helen	May-Helen Molvær Grimstad	kvinne
Mimmi	Mimmi Bæivi	kvinne
Morten	Morten Lund	mann
Magnhild	Magnhild Meltveit Kleppa	kvinne
Marit	Marit Nybakk	kvinne
Marit	Marit Tingelstad	kvinne
Olav	Olav Akselsen	mann
Oddbjørg	Oddbjørg Ausdal Starrfelt	kvinne
Odd	Odd Einar Dørum	mann
Ola	Ola D. Gløtvold	mann
Odd	Odd Eriksen	mann
Odd	Odd Holten	mann
Øystein	Øystein Hedstrøm	mann
Ole	Ole Johs. Brunæs	mann
Øystein	Øystein Djupedal	mann
Olav	Olav Gunnar Ballo	mann
Oddvard	Oddvard Nilsen	mann
Ola	Ola Røtvei	mann
Odd	Odd Roger Enoksen	mann
Ola	Ola T. Lånke	mann
Øyvind	Øyvind Vaksdal	mann
Øyvind	Øyvind Korsberg	mann
Per	Per Roar Bredvold	mann
Per	Per Erik Monsen	mann
Per	Per Ove Width	mann
Per	Per Sandberg	mann
Petter	Petter Løvik	mann
Per-Kristian	Per-Kristian Foss	mann
Reidun	Reidun Gravdahl	kvinne
Rune	Rune E. Kristiansen	mann
Ranveig	Ranveig Frøiland	kvinne
Rolf	Rolf Reikvam	mann
Randi	Randi Karlstrøm	kvinne
Rigmor	Rigmor Kofoed-Larsen	kvinne
Rita	Rita Tveiten	kvinne
Anne	Anne Helen Rui	kvinne
Steinar	Steinar Bastesen	mann
Sigrun	Sigrun Eng	kvinne
Siri	Siri Frost Sterri	kvinne
Svein	Svein Ludvigsen	mann
Signe	Signe Øye	kvinne
Siv	Siv Jensen	kvinne
Sylvia	Sylvia Brustad	kvinne
Synnøve	Synnøve Konglevoll	kvinne
Sverre	Sverre Myrli	mann
Sigvald	Sigvald Oppebøen Hansen	mann
Sonja	Sonja Irene Sjøli	kvinne
Sverre	Sverre J. Hoddevik	mann
Thore	Thore A. Nistad	mann
Terje	Terje Johansen	mann
Trond	Trond Giske	mann
Thorbjørn	Thorbjørn Jagland	mann
Terje	Terje Knudsen	mann
Tomas	Tomas Norvoll	mann
Tor	Tor Nymo	mann
Torbjørn	Torbjørn Andersen	mann
Tore	Tore Nordtun	mann
Torny	Torny Pedersen	kvinne
Torstein	Torstein Rudihagen	mann
Trond	Trond Helleland	mann
Tom	Tom Thoresen	mann
Ursula	Ursula Evje	kvinne
Ulf	Ulf Erik Knudsen	mann
Vidar	Vidar Bjørnstad	mann
Vidar	Vidar Kleppe	mann
Valgerd	Valgerd Svarstad Haugland	kvinne
Anita	Anita Apelthun Sæle	kvinne
Anders	Anders C. Sjaastad	mann
Anneliese	Anneliese Dørum	kvinne
Anne	Anne Enger	kvinne
Ansgar	Ansgar Gabrielsen	mann
Arild	Arild Hiim	mann
Arne	Arne Haukvik	mann
Astrid	Astrid Marie Nistad	kvinne
Annelise	Annelise Høegh	kvinne
Anders	Anders Talleraas	mann
Arild	Arild Lund	mann
Are	Are Næss	mann
Asmund	Asmund Kristoffersen	mann
Ane	Ane Sofie Tømmerås	kvinne
Aud	Aud Blattmann	kvinne
Aud	Aud Gaundal	kvinne
Berit	Berit Brørby	kvinne
Bent	Bent Hegna	mann
Bjørg	Bjørg Hope Galtung	kvinne
Bjørn	Bjørn Hernæs	mann
Brit	Brit Hoel	kvinne
Børre	Børre Rønningen	mann
Bjørn	Bjørn Tore Godal	mann
Carl	Carl I. Hagen	mann
Dag	Dag Jostein Fjærvoll	mann
Dag	Dag C. Weberg	mann
Eilef	Eilef A. Meland	mann
Ellen	Ellen Chr. Christiansen	kvinne
Erik	Erik Dalheim	mann
Erling	Erling Folkvord	mann
Edvard	Edvard Grimstad	mann
Erik	Erik Solheim	mann
Einar	Einar Steensnæs	mann
Einar	Einar Olav Skogholt	mann
Eva	Eva R. Finstad	kvinne
Erna	Erna Solberg	kvinne
Eirin	Eirin Faldet	kvinne
Eli	Eli Sollied Øveraas	kvinne
Eva	Eva Lian	kvinne
Fridtjof	Fridtjof Frank Gundersen	mann
Gunnar	Gunnar Breimo	mann
Gunnar	Gunnar Fatland	mann
Gunnar	Gunnar Halvorsen	mann
Gro	Gro Harlem Brundtland	kvinne
Grete	Grete Knudsen	kvinne
Gunn	Gunn Karin Gjul	kvinne
Gunhild	Gunhild Øyangen	kvinne
Gudmund	Gudmund Restad	mann
Grete	Grete Faremo	kvinne
Grethe	Grethe Fossli	kvinne
Gunnar	Gunnar Skaug	mann
Hallvard	Hallvard Bakke	mann
Hallgrim	Hallgrim Berg	mann
Haakon	Haakon Blankenborg	mann
Harald	Harald Ellefsen	mann
Hilde	Hilde Frafjord Johnson	kvinne
Hans	Hans J. Røsjorde	mann
Hill-Marta	Hill-Marta Solberg	kvinne
Håkon	Håkon Steinar Giil	mann
Ingvald	Ingvald Godal	mann
Inga	Inga Kvalbukt	kvinne
Inge	Inge Myrvoll	mann
John	John Dale	mann
Johanne	Johanne Sommersæter	kvinne
Jens	Jens Stoltenberg	mann
Jørgen	Jørgen Holte	mann
John	John I. Alvheim	mann
Johan	Johan J. Jakobsen	mann
Jørgen	Jørgen Kosmo	mann
Jon	Jon Lilletun	mann
Johan	Johan M. Nyland	mann
Jon	Jon Olav Alstad	mann
Jorunn	Jorunn Hageler	kvinne
Jan	Jan Petersen	mann
Jan	Jan P. Syse	mann
Jorunn	Jorunn Ringstad	kvinne
Jan	Jan Simonsen	mann
Jan	Jan Tore Sanner	mann
Karita	Karita Bekkemellem	kvinne
Kjellbjørg	Kjellbjørg Lunde	kvinne
Kjell	Kjell Engebretsen	mann
Kristin	Kristin Halvorsen	kvinne
Kristin	Kristin Krohn Devold	kvinne
Kaci	Kaci Kullmann Five	kvinne
Kirsti	Kirsti Kolle Grøndahl	kvinne
Karin	Karin Lian	kvinne
Kjell	Kjell Magne Bondevik	mann
Kjellaug	Kjellaug Nakkim	kvinne
Kjell	Kjell Opseth	mann
Karl	Karl Eirik Schjøtt-Pedersen	mann
Lars	Lars Gunnar Lie	mann
Lisbeth	Lisbeth Holand	kvinne
Laila	Laila Kaland	kvinne
Lars	Lars Sponheim	mann
Magnus	Magnus Stangeland	mann
May-Helen	May-Helen Molvær Grimstad	kvinne
Mimmi	Mimmi Bæivi	kvinne
Marie	Marie Brenden	kvinne
Morten	Morten Lund	mann
Magnhild	Magnhild Meltveit Kleppa	kvinne
Marit	Marit Nybakk	kvinne
Magnar	Magnar Sætre	mann
Magnar	Magnar Sortåsløkken	mann
Marit	Marit Tingelstad	kvinne
Marit	Marit Arnstad	kvinne
Olav	Olav Akselsen	mann
Oddbjørg	Oddbjørg Ausdal Starrfelt	kvinne
Ola	Ola D. Gløtvold	mann
Oscar	Oscar D. Hillgaar	mann
Odd	Odd Eriksen	mann
Odd	Odd Holten	mann
Øystein	Øystein Hedstrøm	mann
Ole	Ole Johs. Brunæs	mann
Øystein	Øystein Djupedal	mann
Oddvard	Oddvard Nilsen	mann
Ola	Ola Røtvei	mann
Odd	Odd Roger Enoksen	mann
Ottar	Ottar Kaldhol	mann
Ola	Ola T. Lånke	mann
Peter	Peter Angelsen	mann
Paul	Paul Chaffey	mann
Per-Kristian	Per-Kristian Foss	mann
Per	Per Olaf Lundteigen	mann
Petter	Petter Thomassen	mann
Ragnhild	Ragnhild Barland	kvinne
Ragna	Ragna Berget Jørgensen	kvinne
Ranveig	Ranveig Frøiland	kvinne
Ranja	Ranja Hauglid	kvinne
Rita	Rita H. Roaldsen	kvinne
Reidar	Reidar Johansen	mann
Rolf	Rolf Ketil Bjørn	mann
Roy	Roy N. Wetterstad	mann
Roger	Roger Gudmundseth	mann
Ragnhild	Ragnhild Queseth Haarstad	kvinne
Rolf	Rolf Terje Klungland	mann
Rita	Rita Tveiten	kvinne
Anne	Anne Helen Rui	kvinne
Stephen	Stephen Bråthen	mann
Syver	Syver Berge	mann
Sigrun	Sigrun Eng	kvinne
Siri	Siri Frost Sterri	kvinne
Svein	Svein Ludvigsen	mann
Solveig	Solveig Sollie	kvinne
Signe	Signe Øye	kvinne
Sigbjørn	Sigbjørn Johnsen	mann
Sylvia	Sylvia Brustad	kvinne
Sigurd	Sigurd Manneråk	mann
Sigvald	Sigvald Oppebøen Hansen	mann
Solveig	Solveig Torsvik	kvinne
Tore	Tore A. Liltved	mann
Thorbjørn	Thorbjørn Berntsen	mann
Thorbjørn	Thorbjørn Jagland	mann
Tove	Tove Kari Viken	kvinne
Tomas	Tomas Norvoll	mann
Tor	Tor Nymo	mann
Tore	Tore Nordtun	mann
Terje	Terje Riis-Johansen	mann
Terje	Terje Sandkjær	mann
Tom	Tom Thoresen	mann
Thorhild	Thorhild Widvey	kvinne
Ulf	Ulf Guttormsen	mann
Unn	Unn Aarrestad	kvinne
Vidar	Vidar Bjørnstad	mann
Valgerd	Valgerd Svarstad Haugland	kvinne
William	William Engseth	mann
Anita	Anita Apelthun Sæle	kvinne
Anders	Anders C. Sjaastad	mann
Anneliese	Anneliese Dørum	kvinne
Anne	Anne Enger	kvinne
Arild	Arild Hiim	mann
Astrid	Astrid Marie Nistad	kvinne
Anders	Anders John Aune	mann
Annelise	Annelise Høegh	kvinne
Anders	Anders Talleraas	mann
Arne	Arne Alsåker Spilde	mann
Arne	Arne Skauge	mann
Aud	Aud Blattmann	kvinne
Berit	Berit Brørby	kvinne
Bjarne	Bjarne Mørk-Eidem	mann
Brit	Brit Hoel	kvinne
Borghild	Borghild Røyseland	kvinne
Børre	Børre Rønningen	mann
Britt	Britt Harkestad	kvinne
Bjørn	Bjørn Tore Godal	mann
Carl	Carl I. Hagen	mann
Dagfinn	Dagfinn Hjertenes	mann
Dag	Dag Jostein Fjærvoll	mann
Dag	Dag C. Weberg	mann
Eilef	Eilef A. Meland	mann
Erik	Erik Dalheim	mann
Edvard	Edvard Grimstad	mann
Erik	Erik Solheim	mann
Eleonore	Eleonore Bjartveit	kvinne
Einar	Einar Olav Skogholt	mann
Eva	Eva R. Finstad	kvinne
Ernst	Ernst Wroldsen	mann
Erna	Erna Solberg	kvinne
Eirin	Eirin Faldet	kvinne
Fridtjof	Fridtjof Frank Gundersen	mann
Finn	Finn Thoresen	mann
Gunnar	Gunnar Fatland	mann
Gro	Gro Harlem Brundtland	kvinne
Grete	Grete Knudsen	kvinne
Gunhild	Gunhild Øyangen	kvinne
Gudmund	Gudmund Restad	mann
Gunnar	Gunnar Skaug	mann
Gunnar	Gunnar Berge	mann
Gunn	Gunn Vigdis Olsen-Hagen	kvinne
Harry	Harry Jensen	mann
Hallvard	Hallvard Bakke	mann
Hallgrim	Hallgrim Berg	mann
Haakon	Haakon Blankenborg	mann
Harald	Harald Ellefsen	mann
Helen	Helen Marie Bøsterud	kvinne
Helga	Helga Haugen	kvinne
Hans	Hans J. Røsjorde	mann
Ingvald	Ingvald Godal	mann
Inge	Inge Myrvoll	mann
Ingeborg	Ingeborg Botnen	kvinne
Inger	Inger Lise Gjørv	kvinne
Inger-Marie	Inger-Marie Ytterhorn	kvinne
Inger	Inger Pedersen	kvinne
Inger	Inger Dag	kvinne
Inge	Inge Staldvik	mann
Ingvard	Ingvard Sverdrup	mann
Ingrid	Ingrid I. Willoch	kvinne
Jan	Jan Erik Fåne	mann
Jan	Jan Elvheim	mann
Jens	Jens Marcussen	mann
John	John I. Alvheim	mann
Johan	Johan J. Jakobsen	mann
Jørgen	Jørgen Kosmo	mann
Jon	Jon Lilletun	mann
Johan	Johan M. Nyland	mann
Jo	Jo Benkow	mann
John	John G. Bernander	mann
Johan	Johan C. Løken	mann
John	John S. Tveit	mann
Jan	Jan Petersen	mann
Jan	Jan P. Syse	mann
Jan	Jan Simonsen	mann
Karita	Karita Bekkemellem	kvinne
Kjellbjørg	Kjellbjørg Lunde	kvinne
Kristin	Kristin Halvorsen	kvinne
Kjell	Kjell Borgen	mann
Kaci	Kaci Kullmann Five	kvinne
Kirsti	Kirsti Kolle Grøndahl	kvinne
Karin	Karin Lian	kvinne
Kjell	Kjell Magne Bondevik	mann
Kjellaug	Kjellaug Nakkim	kvinne
Knut	Knut Hanselmann	mann
Kjell	Kjell Opseth	mann
Kristin	Kristin Clemet	kvinne
Karl	Karl Eirik Schjøtt-Pedersen	mann
Kåre	Kåre Gjønnes	mann
Leiv	Leiv Blakset	mann
Leiv	Leiv Stensland	mann
Lars	Lars Gunnar Lie	mann
Lisbeth	Lisbeth Holand	kvinne
Laila	Laila Kaland	kvinne
Lodve	Lodve Solholm	mann
Mary	Mary Kvidal	kvinne
Marit	Marit Rotnes	kvinne
Magnus	Magnus Stangeland	mann
Marie	Marie Lovise Widnes	kvinne
Marie	Marie Brenden	kvinne
Marit	Marit Nybakk	kvinne
Magnar	Magnar Sætre	mann
Magnar	Magnar Sortåsløkken	mann
Nils	Nils O. Golten	mann
Olav	Olav Akselsen	mann
Oscar	Oscar D. Hillgaar	mann
Oddrunn	Oddrunn Pettersen	kvinne
Odd	Odd Holten	mann
Øystein	Øystein Hedstrøm	mann
Ole	Ole Johs. Brunæs	mann
Ole	Ole Gabriel Ueland	mann
Peter	Peter Angelsen	mann
Paul	Paul Chaffey	mann
Per	Per Aunet	mann
Petter	Petter Bjørheim	mann
Peder	Peder I. Ramsrud	mann
Per	Per Risvik	mann
Per	Per Rolf Sævik	mann
Per-Kristian	Per-Kristian Foss	mann
Petter	Petter Thomassen	mann
Pål	Pål Atle Skjervengen	mann
Ragnhild	Ragnhild Barland	kvinne
Ragna	Ragna Berget Jørgensen	kvinne
Reiulf	Reiulf Steen	mann
Ranveig	Ranveig Frøiland	kvinne
Ranja	Ranja Hauglid	kvinne
Rikard	Rikard Olsvik	mann
Reidar	Reidar Johansen	mann
